url,source,date_seen
https://simonwillison.net/2026/Apr/30/andrew-kelley/#atom-everything,Simon Willison's Weblog,2026-05-03
https://simonwillison.net/2026/Apr/30/rss-vibe-coded-apps/#atom-everything,Simon Willison's Weblog,2026-05-03
https://simonwillison.net/2026/Apr/30/zig-anti-ai/#atom-everything,Simon Willison's Weblog,2026-05-03
https://simonwillison.net/2026/Apr/29/llm-3/#atom-everything,Simon Willison's Weblog,2026-05-03
https://simonwillison.net/2026/Apr/29/llm/#atom-everything,Simon Willison's Weblog,2026-05-03
https://simonwillison.net/2026/Apr/29/llm-2/#atom-everything,Simon Willison's Weblog,2026-05-03
https://simonwillison.net/2026/Apr/28/openai-codex/#atom-everything,Simon Willison's Weblog,2026-05-03
https://simonwillison.net/2026/Apr/28/matthew-yglesias/#atom-everything,Simon Willison's Weblog,2026-05-03
https://simonwillison.net/2026/Apr/28/pip-261/#atom-everything,Simon Willison's Weblog,2026-05-03
https://simonwillison.net/2026/Apr/28/talkie/#atom-everything,Simon Willison's Weblog,2026-05-03
https://simonwillison.net/2026/Apr/27/vibevoice/#atom-everything,Simon Willison's Weblog,2026-05-03
https://simonwillison.net/2026/Apr/27/now-deceased-agi-clause/#atom-everything,Simon Willison's Weblog,2026-05-03
https://simonwillison.net/2026/Apr/27/speech-translation-in-google-meet-is-now-rolling-out-to-mobile-d/#atom-everything,Simon Willison's Weblog,2026-05-03
https://github.com/edubruell/tidyllm/blob/HEAD/NEWS.md#tidyllm-0-5-0,tidyllm,2026-05-03
https://simonwillison.net/2026/May/9/luke-curley/#atom-everything,Simon Willison's Weblog,2026-05-10
https://simonwillison.net/2026/May/8/unreasonable-effectiveness-of-html/#atom-everything,Simon Willison's Weblog,2026-05-10
https://simonwillison.net/2026/May/7/llm-gemini/#atom-everything,Simon Willison's Weblog,2026-05-10
https://simonwillison.net/2026/May/7/big-words/#atom-everything,Simon Willison's Weblog,2026-05-10
https://simonwillison.net/2026/May/7/firefox-claude-mythos/#atom-everything,Simon Willison's Weblog,2026-05-10
https://simonwillison.net/2026/May/7/xai-anthropic/#atom-everything,Simon Willison's Weblog,2026-05-10
https://simonwillison.net/2026/May/7/github-repo-stats/#atom-everything,Simon Willison's Weblog,2026-05-10
https://simonwillison.net/2026/May/6/code-w-claude-2026/#atom-everything,Simon Willison's Weblog,2026-05-10
https://simonwillison.net/2026/May/6/vibe-coding-and-agentic-engineering/#atom-everything,Simon Willison's Weblog,2026-05-10
https://simonwillison.net/2026/May/5/datasette-referrer-policy/#atom-everything,Simon Willison's Weblog,2026-05-10
https://simonwillison.net/2026/May/5/our-ai-started-a-cafe-in-stockholm/#atom-everything,Simon Willison's Weblog,2026-05-10
https://simonwillison.net/2026/May/5/datasette-llm/#atom-everything,Simon Willison's Weblog,2026-05-10
https://simonwillison.net/2026/May/5/llm-echo/#atom-everything,Simon Willison's Weblog,2026-05-10
https://simonwillison.net/2026/May/5/john-gruber/#atom-everything,Simon Willison's Weblog,2026-05-10
https://simonwillison.net/2026/May/4/granite-41-3b-svg-pelican-gallery/#atom-everything,Simon Willison's Weblog,2026-05-10
https://simonwillison.net/2026/May/4/andy-masley/#atom-everything,Simon Willison's Weblog,2026-05-10
https://simonwillison.net/2026/May/4/april-newsletter/#atom-everything,Simon Willison's Weblog,2026-05-10
https://simonwillison.net/2026/May/4/tre-python-binding/#atom-everything,Simon Willison's Weblog,2026-05-10
https://simonwillison.net/2026/May/4/redis-array/#atom-everything,Simon Willison's Weblog,2026-05-10
https://simonwillison.net/2026/May/3/anthropic/#atom-everything,Simon Willison's Weblog,2026-05-10
https://github.com/tidyverse/ellmer/blob/HEAD/NEWS.md#ellmer-0-4-1,ellmer,2026-05-10
https://simonwillison.net/2026/May/16/openclaw-names/#atom-everything,Simon Willison's Weblog,2026-05-17
https://simonwillison.net/2026/May/16/julia-evans/#atom-everything,Simon Willison's Weblog,2026-05-17
https://simonwillison.net/2026/May/15/inaturalist-clumper/#atom-everything,Simon Willison's Weblog,2026-05-17
https://simonwillison.net/2026/May/15/sighting-361818285/#atom-everything,Simon Willison's Weblog,2026-05-17
https://simonwillison.net/2026/May/15/qr-code-generator/#atom-everything,Simon Willison's Weblog,2026-05-17
https://simonwillison.net/2026/May/15/datasette-llm-limits/#atom-everything,Simon Willison's Weblog,2026-05-17
https://simonwillison.net/2026/May/14/not-so-locked-in/#atom-everything,Simon Willison's Weblog,2026-05-17
https://simonwillison.net/2026/May/14/mitchell-hashimoto/#atom-everything,Simon Willison's Weblog,2026-05-17
https://simonwillison.net/2026/May/14/datasette-ip-rate-limit/#atom-everything,Simon Willison's Weblog,2026-05-17
https://simonwillison.net/2026/May/13/welcome-to-the-datasette-blog/#atom-everything,Simon Willison's Weblog,2026-05-17
https://simonwillison.net/2026/May/13/boris-mann/#atom-everything,Simon Willison's Weblog,2026-05-17
https://simonwillison.net/2026/May/13/csp-allow/#atom-everything,Simon Willison's Weblog,2026-05-17
https://simonwillison.net/2026/May/12/datasette/#atom-everything,Simon Willison's Weblog,2026-05-17
https://simonwillison.net/2026/May/12/mo-bitar/#atom-everything,Simon Willison's Weblog,2026-05-17
https://simonwillison.net/2026/May/12/mitchell-hashimoto/#atom-everything,Simon Willison's Weblog,2026-05-17
https://simonwillison.net/2026/May/12/llm/#atom-everything,Simon Willison's Weblog,2026-05-17
https://simonwillison.net/2026/May/11/gitlab-act-2/#atom-everything,Simon Willison's Weblog,2026-05-17
https://simonwillison.net/2026/May/11/james-shore/#atom-everything,Simon Willison's Weblog,2026-05-17
https://simonwillison.net/2026/May/11/zombie-internet/#atom-everything,Simon Willison's Weblog,2026-05-17
https://simonwillison.net/2026/May/11/llm-shebang/#atom-everything,Simon Willison's Weblog,2026-05-17
https://simonwillison.net/2026/May/11/learning-on-the-shop-floor/#atom-everything,Simon Willison's Weblog,2026-05-17
https://simonwillison.net/2026/May/10/new-york-times-editors-note/#atom-everything,Simon Willison's Weblog,2026-05-17
https://simonwillison.net/2026/May/10/andrew-quinn/#atom-everything,Simon Willison's Weblog,2026-05-17
https://simonwillison.net/2026/May/23/on-the-dl/#atom-everything,Simon Willison's Weblog,2026-05-24
https://simonwillison.net/2026/May/22/memory-shortage/#atom-everything,Simon Willison's Weblog,2026-05-24
https://simonwillison.net/2026/May/22/ftc-active-listening/#atom-everything,Simon Willison's Weblog,2026-05-24
https://simonwillison.net/2026/May/21/datasette-agent/#atom-everything,Simon Willison's Weblog,2026-05-24
https://simonwillison.net/2026/May/21/datasette-agent-sprites/#atom-everything,Simon Willison's Weblog,2026-05-24
https://simonwillison.net/2026/May/21/datasette-agent-charts/#atom-everything,Simon Willison's Weblog,2026-05-24
https://simonwillison.net/2026/May/21/datasette-agent-2/#atom-everything,Simon Willison's Weblog,2026-05-24
https://simonwillison.net/2026/May/20/spacex-s1/#atom-everything,Simon Willison's Weblog,2026-05-24
https://simonwillison.net/2026/May/20/tokens-per-second/#atom-everything,Simon Willison's Weblog,2026-05-24
https://simonwillison.net/2026/May/20/google-io/#atom-everything,Simon Willison's Weblog,2026-05-24
https://simonwillison.net/2026/May/20/datasette-agent-charts/#atom-everything,Simon Willison's Weblog,2026-05-24
https://simonwillison.net/2026/May/19/llm-gemini-2/#atom-everything,Simon Willison's Weblog,2026-05-24
https://simonwillison.net/2026/May/19/gemini-35-flash/#atom-everything,Simon Willison's Weblog,2026-05-24
https://simonwillison.net/2026/May/19/datasette-llm-accountant/#atom-everything,Simon Willison's Weblog,2026-05-24
https://simonwillison.net/2026/May/19/llm-gemini/#atom-everything,Simon Willison's Weblog,2026-05-24
https://simonwillison.net/2026/May/19/datasette-llm/#atom-everything,Simon Willison's Weblog,2026-05-24
https://simonwillison.net/2026/May/19/5-minute-llms/#atom-everything,Simon Willison's Weblog,2026-05-24
https://simonwillison.net/2026/May/18/sighting-362781627/#atom-everything,Simon Willison's Weblog,2026-05-24
https://simonwillison.net/2026/May/17/gds-weighs-in/#atom-everything,Simon Willison's Weblog,2026-05-24
https://simonwillison.net/2026/May/15/datasette-agent/#atom-everything,Simon Willison's Weblog,2026-05-24
https://simonwillison.net/2026/May/14/datasette-agent/#atom-everything,Simon Willison's Weblog,2026-05-24
https://www.oneusefulthing.org/p/choosing-to-stay-human,One Useful Thing,2026-05-31
https://simonwillison.net/2026/May/30/how-we-contain-claude/#atom-everything,Simon Willison's Weblog,2026-05-31
https://simonwillison.net/2026/May/30/pyodide-asgi-browser/#atom-everything,Simon Willison's Weblog,2026-05-31
https://simonwillison.net/2026/May/30/retiring-from-tech-to-live-offline/#atom-everything,Simon Willison's Weblog,2026-05-31
https://simonwillison.net/2026/May/30/daniel-jalkut/#atom-everything,Simon Willison's Weblog,2026-05-31
https://simonwillison.net/2026/May/29/datasette/#atom-everything,Simon Willison's Weblog,2026-05-31
https://simonwillison.net/2026/May/29/anthropic/#atom-everything,Simon Willison's Weblog,2026-05-31
https://simonwillison.net/2026/May/28/claude-opus-4-8/#atom-everything,Simon Willison's Weblog,2026-05-31
https://simonwillison.net/2026/May/28/llm-anthropic/#atom-everything,Simon Willison's Weblog,2026-05-31
https://simonwillison.net/2026/May/28/markdown-svg-renderer/#atom-everything,Simon Willison's Weblog,2026-05-31
https://simonwillison.net/2026/May/27/sqlite-agents/#atom-everything,Simon Willison's Weblog,2026-05-31
https://simonwillison.net/2026/May/27/product-market-fit/#atom-everything,Simon Willison's Weblog,2026-05-31
https://simonwillison.net/2026/May/27/kyle-ferrana/#atom-everything,Simon Willison's Weblog,2026-05-31
https://simonwillison.net/2026/May/26/the-pressure/#atom-everything,Simon Willison's Weblog,2026-05-31
https://simonwillison.net/2026/May/26/copilot-cowork-exfiltrates-files/#atom-everything,Simon Willison's Weblog,2026-05-31
https://simonwillison.net/2026/May/26/paul-graham/#atom-everything,Simon Willison's Weblog,2026-05-31
https://simonwillison.net/2026/May/26/corey-quinn/#atom-everything,Simon Willison's Weblog,2026-05-31
https://simonwillison.net/2026/May/25/encyclical-on-ai/#atom-everything,Simon Willison's Weblog,2026-05-31
https://simonwillison.net/2026/May/25/sighting-365297287/#atom-everything,Simon Willison's Weblog,2026-05-31
https://simonwillison.net/2026/May/24/datasette/#atom-everything,Simon Willison's Weblog,2026-05-31
https://simonwillison.net/2026/May/24/datasette-agent/#atom-everything,Simon Willison's Weblog,2026-05-31
https://simonwillison.net/2026/May/24/datasette-fixtures/#atom-everything,Simon Willison's Weblog,2026-05-31
https://simonwillison.net/2026/May/24/armin-ronacher/#atom-everything,Simon Willison's Weblog,2026-05-31
https://simonwillison.net/2026/May/24/usborne-mad-house/#atom-everything,Simon Willison's Weblog,2026-05-31
https://www.oneusefulthing.org/p/co-existence-and-the-end-of-co-intelligence,One Useful Thing,2026-06-07
https://simonwillison.net/2026/Jun/6/micropython-wasm/#atom-everything,Simon Willison's Weblog,2026-06-07
https://simonwillison.net/2026/Jun/6/micropython-in-a-sandbox/#atom-everything,Simon Willison's Weblog,2026-06-07
https://simonwillison.net/2026/Jun/5/openai-help-lockdown-mode/#atom-everything,Simon Willison's Weblog,2026-06-07
https://simonwillison.net/2026/Jun/5/andreas-kling/#atom-everything,Simon Willison's Weblog,2026-06-07
